"date","route","family","signal","scale","evidence","outcome","lesson"
"2026-04-28","v4 seat-bias audit","public policy","self-play gate","100 games","team-seat result was 85/15","rejected","paired and seat-swapped evaluation is mandatory"
"2026-04-28","v7 public baseline","public policy","paired direct gates","400 games versus v5 and 400 versus v6 in public snapshot","passed old baseline gates","retained","kept as early public-information baseline"
"2026-04-29","v8 searchmix","public policy plus search labels","strong-search labels mixed into direct policy","200 paired games versus v7","135/200 wins with 0.675 win rate","retained","search labels can improve policy when gameplay gates agree"
"2026-04-29","v9 broad-hard","public policy plus hard states","turn-count and battle-hard search labels","100 paired games versus v8","60/100 wins","retained","hard-state labels must still be checked by direct gates"
"2026-04-29","v10 self-play search","public policy plus self-play labels","v9 self-play states labeled by policy-value search","60 paired games versus v9","33/60 wins","retained","incremental self-play search labels helped but margin was modest"
"2026-04-29","v11 guard-aligned","public policy plus guards","guard-aligned search labels","60 paired games versus v10","37/60 wins after two earlier 29/60 rejections","retained","guard alignment mattered more than offline-only metrics"
"2026-04-29","v8 value calibration","public value","whole-game self-play value labels","2000 games plus holdout","opening mean calibration improved versus older value baseline","retained conservative value","split by whole game to avoid adjacent-state leakage"
"2026-05-02","v18 v5-root direct","public hard-state repair","v5 hard states search human and old-model labels","60-deal direct gates plus live-search smoke","direct gates passed but old value/search mix regressed versus v5","research human-test stack","direct policy strength does not imply live-search stack strength"
"2026-05-03","v19 human-loss correction","public loss repair","tiny human-loss correction set","three human losses plus retain labels","v19 and v19b overfit while v19c only partly repaired v5","rejected","tiny loss fixes need strong retain negatives"
"2026-05-03","v20 portfolio search","portfolio and online search","multi-model candidate advisors plus adaptive rollouts","small matched gates versus v5 v6 v7 v18","positive small signals with sample and seat concerns","research-only","portfolio gains must survive old-pool and seat-balance checks"
"2026-05-04","v23 old-pool direct","loss distillation","v20 old-pool loss labels","larger old-pool gates and v18 comparison","strong versus v5/v6/v7 but combined tie versus v18","research-only","old-pool strength and newest-baseline strength both matter"
"2026-05-05","v24 and v24light","loss fine-tune","v23 plus v18-loss labels","small v18 and old-pool smokes","regressed versus v18 and weakened old-pool balance","rejected","fine-tuning on one loss family can damage style coverage"
"2026-05-05","v25 exact short-race","exact race labels","short-race exact labels and human-loss states","215 exact labels plus small gates","exact labels useful but direct checkpoint not clean","research-only","some tactical fixes belong in search/runtime modules"
"2026-05-05","v27 full-state scorer","full-information teacher","exact short-race and full-state labels","215/215 exact top1 plus full-state gates","useful teacher and sparring model","teacher-only","full-state strength is not fair public-information play"
"2026-05-06","v32 human-hard repair","public human-hard policy","90 human hard labels","offline top1 improved from 0.389 to 0.689","regressed against v6","rejected as default","human-hard accuracy needs old-pool retention"
"2026-05-06","v32b human-hard retain","public human-hard policy","human-hard labels plus v6/v5 retain records","matched small smokes","repaired v6 smoke partly but stayed baseline-level","research-only","retention labels reduce regressions but may dilute the repair"
"2026-05-07","v36 residual candidate","public residual repair","cross-seed residual labels","160 combined small old-pool games","86/160 versus v32b 80/160 but weak v18 and human-hard diagnostics","research-only","aggregate gains can hide opponent-specific weakness"
"2026-05-07","stage-risk v1","risk auxiliary","trajectory risk labels","validation and human-hard afterstate checks","opponent-first-soon AUC high but broad rerank was too aggressive","diagnostic-only","risk heads are useful advisors before they are action selectors"
"2026-05-07","pass guard v1","pass specialist","pass-with-response human-hard labels","116 human hard labels plus old-pool gates","fixed many bad-pass labels but regressed old-pool runtime gates","rejected as runtime override","pass fixes need old-style negatives and strict margins"
"2026-05-08","v37 pass-intervene","pass specialist","balanced pass intervention head","224 old-pool paired games","121/224 versus v18 direct 119/224 with no win-count regression","research-only","safe small gain is not enough for default promotion"
"2026-05-09","Team-Q risk auxiliary","team role and risk","role/risk labels","766 records","risk macro-F1 0.554 and pass_danger F1 0.572","diagnostic-only","pass danger was not safe as a hard gate"
"2026-05-11","Phase3Q adapters","rejection-safety","model-assisted safety configurations","17 seeds","8 passed internal gates","proposal-only","internal pass rate is not release evidence"
"2026-05-12","Phase3U shadow sweep","rejection-safety","safety-head shadow configurations","12 seeds and 120 shadow configs","7 internal passes but 0 shadow configs passed","rejected","shadow gates catch brittle safety heads"
"2026-05-12","Phase3X rule-gate search","rejection-safety","handcrafted and model gate search","5120 handcrafted gates and 26 model configs","0 handcrafted passed and 10 model configs passed","research-only","broad handcrafted gates were too brittle"
"2026-05-16","V42 belief-PUCT smoke","belief search infrastructure","public-belief PUCT decisions","960 games and 52352 decisions","no crashes","stability-only","wiring success is not strength evidence"
"2026-05-17","V42 belief-PUCT night H2H","belief search evaluation","distributed head-to-head traces","5400 games and 236802 trace rows","win rates versus retained opponents were below target","strength failed","failed strength runs can still produce trace-mining value"
"2026-05-17","V42 trace mining","counterfactual data mining","loss rows disagreements and guard rewrites","20000 hard-ledger rows and 320 CF queue rows","useful hard-example queue created","offline mining","final game outcome is weak evidence until CF labels exist"
